Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Average Cost Paid,Quantity,Market Price (As of 2025-03-23),Watchlist,Date Added
Main,Pokemon,EX Crystal Guardians,Manectric,8,Holo Rare,Reverse Holofoil,Ungraded,0.0000,1,7.3204,false,2025-03-20
Main,Pokemon,EX Crystal Guardians,Meditite,56,Common,Normal,Ungraded,0.0000,1,0.1523,false,2025-03-21
Main,Pokemon,EX Crystal Guardians,Mudkip (58),58,Common,Normal,Ungraded,0.0000,2,0.4786,false,2025-03-21
Main,Pokemon,EX Crystal Guardians,Spearow,61,Common,Normal,Ungraded,0.0000,1,0.2502,false,2025-03-21
Main,Pokemon,EX Crystal Guardians,Squirtle (64),64,Common,Normal,Ungraded,0.0000,1,2.3604,false,2025-03-20
Main,Pokemon,EX Crystal Guardians,Treecko (Delta Species),68,Common,Normal,Ungraded,0.0000,1,0.6091,false,2025-03-21
Main,Pokemon,EX Crystal Guardians,Warp Point,84,Uncommon,Normal,Ungraded,0.0000,1,0.3916,false,2025-03-21
Main,Pokemon,EX Crystal Guardians,Whismur,69,Common,Normal,Ungraded,0.0000,1,0.4025,false,2025-03-21
Main,Pokemon,EX Delta Species,Azumarill (Delta Species),19,Rare,Normal,Ungraded,0.0000,1,4.7751,false,2025-03-20
Main,Pokemon,EX Delta Species,Ditto (Geodude),62,Common,Normal,Ungraded,0.0000,2,2.6214,false,2025-03-19
Main,Pokemon,EX Delta Species,Eevee,69,Common,Normal,Ungraded,0.0000,1,5.1667,false,2025-03-20
Main,Pokemon,EX Delta Species,Holon's Magnemite,70,Common,Normal,Ungraded,0.0000,1,0.4786,false,2025-03-21
Main,Pokemon,EX Delta Species,Poochyena,79,Common,Normal,Ungraded,0.0000,1,0.2828,false,2025-03-21
Main,Pokemon,EX Delta Species,Potion,101,Common,Normal,Ungraded,0.0000,2,0.0761,false,2025-03-21
Main,Pokemon,EX Delta Species,Vaporeon (Delta Species),18,Holo Rare,Reverse Holofoil,Ungraded,0.0000,1,53.9838,false,2025-03-18
Main,Pokemon,EX Delta Species,Volbeat,56,Uncommon,Normal,Ungraded,0.0000,1,0.8702,false,2025-03-21
Main,Pokemon,EX Delta Species,Weedle,87,Common,Normal,Ungraded,0.0000,1,0.1632,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Chikorita (Delta Species),44,Common,Normal,Ungraded,0.0000,2,0.4568,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Dewgong (Delta Species),15,Rare,Normal,Ungraded,0.0000,1,1.7186,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Elekid (Delta Species),48,Common,Normal,Ungraded,0.0000,1,0.4568,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Flaaffy (Delta Species),30,Uncommon,Normal,Ungraded,0.0000,1,1.6207,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Kirlia,32,Uncommon,Normal,Ungraded,0.0000,1,0.9572,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Mareep (Delta Species),54,Common,Normal,Ungraded,0.0000,1,0.6744,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Nidoran F (Delta Species),56,Common,Normal,Ungraded,0.0000,2,0.3916,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Pupitar (Delta Species),59,Common,Normal,Ungraded,0.0000,1,0.2719,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Quilava (Delta Species),36,Uncommon,Reverse Holofoil,Ungraded,0.0000,1,7.2007,false,2025-03-20
Main,Pokemon,EX Dragon Frontiers,Ralts,60,Common,Normal,Ungraded,0.0000,1,0.3372,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Shelgon (Delta Species),38,Uncommon,Normal,Ungraded,0.0000,1,0.8158,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Shellder (Delta Species),63,Common,Normal,Ungraded,0.0000,1,0.1849,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Togepi (Delta Species),41,Uncommon,Normal,Ungraded,0.0000,1,1.2835,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Totodile (Delta Species),67,Common,Reverse Holofoil,Ungraded,0.0000,1,7.6467,false,2025-03-20
Main,Pokemon,EX Dragon Frontiers,Trapinch,68,Common,Normal,Ungraded,0.0000,1,0.2502,false,2025-03-21
Main,Pokemon,EX Dragon Frontiers,Xatu (Delta Species),25,Rare,Reverse Holofoil,Ungraded,0.0000,1,5.7976,false,2025-03-21
Main,Pokemon,EX Legend Maker,Claw Fossil,78,Common,Normal,Ungraded,0.0000,1,0.3154,false,2025-03-21
Main,Pokemon,EX Power Keepers,Carvanha,47,Common,Normal,Ungraded,0.0000,1,0.4786,false,2025-03-21
Main,Pokemon,EX Power Keepers,Charmander,48,Common,Normal,Ungraded,0.0000,2,0.3154,false,2025-03-19
Main,Pokemon,EX Power Keepers,Charmeleon,28,Uncommon,Normal,Ungraded,0.0000,1,0.4242,false,2025-03-21
Main,Pokemon,EX Power Keepers,Grass Energy,103,Rare,Holofoil,Ungraded,0.0000,1,1.4576,false,2025-03-19
Main,Pokemon,EX Power Keepers,Kabutops,10,Holo Rare,Reverse Holofoil,Ungraded,0.0000,1,7.4727,false,2025-03-20
Main,Pokemon,EX Power Keepers,Magnemite,54,Common,Normal,Ungraded,0.0000,1,0.2393,false,2025-03-21
Main,Pokemon,EX Power Keepers,Medicham,34,Uncommon,Normal,Ungraded,0.0000,1,0.4242,false,2025-03-21
Main,Pokemon,EX Power Keepers,Omanyte,56,Common,Normal,Ungraded,0.0000,1,0.3589,false,2025-03-21
Main,Pokemon,EX Power Keepers,Root Fossil,86,Common,Normal,Ungraded,0.0000,2,0.3372,false,2025-03-21
Main,Pokemon,EX Power Keepers,Seedot,60,Common,Normal,Ungraded,0.0000,1,0.1523,false,2025-03-21
Main,Pokemon,EX Power Keepers,Wynaut,70,Common,Normal,Ungraded,0.0000,1,0.2937,false,2025-03-21
Main,Pokemon,EX Team Magma vs Team Aqua,Dual Ball,72,Uncommon,Reverse Holofoil,Ungraded,0.0000,1,1.7730,false,2025-03-20
Main,Pokemon,Great Encounters,Felicity's Drawing,98,Uncommon,Normal,Ungraded,0.0000,1,0.1196,false,2025-03-21
Main,Pokemon,Great Encounters,Leftovers,99,Uncommon,Normal,Ungraded,0.0000,1,0.1958,false,2025-03-21
Main,Pokemon,Great Encounters,Unown [G],57,Uncommon,Normal,Ungraded,0.0000,1,0.5982,false,2025-03-21
Main,Pokemon,Great Encounters,Unown [H],29,Rare,Normal,Ungraded,0.0000,1,2.4147,false,2025-03-21
Main,Pokemon,Great Encounters,Unown [L],91,Common,Normal,Ungraded,0.0000,1,0.1849,false,2025-03-21
Main,Pokemon,Legendary Collection,Charmander,70,Common,Normal,Ungraded,0.0000,1,1.8056,false,2025-03-20
Main,Pokemon,Legends Awakened,Claw Fossil,138,Common,Normal,Ungraded,0.0000,1,0.3589,false,2025-03-21
Main,Pokemon,Legends Awakened,Metagross,10,Holo Rare,Reverse Holofoil,Ungraded,0.0000,1,3.4807,false,2025-03-21
Main,Pokemon,Legends Awakened,Metang (65),65,Uncommon,Normal,Ungraded,0.0000,1,0.1196,false,2025-03-21
Main,Pokemon,Legends Awakened,Unown (?),82,Uncommon,Normal,Ungraded,0.0000,1,0.7397,false,2025-03-21
Main,Pokemon,Legends Awakened,Unown (R),77,Uncommon,Reverse Holofoil,Ungraded,0.0000,1,3.2958,false,2025-03-20
Main,Pokemon,Legends Awakened,Unown (U),78,Uncommon,Normal,Ungraded,0.0000,1,0.4133,false,2025-03-20
Main,Pokemon,Legends Awakened,Unown (Y),81,Uncommon,Normal,Ungraded,0.0000,1,0.2393,false,2025-03-21
Main,Pokemon,Majestic Dawn,Fossil Excavator,82,Uncommon,Normal,Ungraded,0.0000,1,0.4025,false,2025-03-21
Main,Pokemon,Majestic Dawn,Helix Fossil,91,Common,Normal,Ungraded,0.0000,1,0.2828,false,2025-03-21
Main,Pokemon,Majestic Dawn,Munchlax,68,Common,Normal,Ungraded,0.0000,1,0.8375,false,2025-03-21
Main,Pokemon,Majestic Dawn,Poke Ball,85,Uncommon,Normal,Ungraded,0.0000,1,0.2828,false,2025-03-21
Main,Pokemon,Majestic Dawn,Unown [Q],49,Uncommon,Normal,Ungraded,0.0000,1,0.7614,false,2025-03-21
Main,Pokemon,Mysterious Treasures,Buizel,75,Common,Normal,Ungraded,0.0000,1,0.1740,false,2025-03-21
Main,Pokemon,Mysterious Treasures,Skull Fossil,117,Common,Normal,Ungraded,0.0000,1,0.1632,false,2025-03-21
Main,Pokemon,Mysterious Treasures,Spheal,102,Common,Normal,Ungraded,0.0000,1,0.1196,false,2025-03-21
Main,Pokemon,Mysterious Treasures,Unown [T],67,Uncommon,Normal,Ungraded,0.0000,1,0.4351,false,2025-03-21
Main,Pokemon,Paradox Rift,Aegislash ex,230/182,Ultra Rare,Holofoil,Ungraded,0.0000,1,1.8800,false,2025-03-22
Main,Pokemon,Paradox Rift,Bombirdier ex,156/182,Double Rare,Holofoil,Ungraded,0.0000,1,0.6200,false,2025-03-22
Main,Pokemon,Paradox Rift,Cyclizar,215/182,Illustration Rare,Holofoil,Ungraded,0.0000,1,6.3900,false,2025-03-22
Main,Pokemon,Paradox Rift,Dottler,184/182,Illustration Rare,Holofoil,Ungraded,0.0000,1,5.6500,false,2025-03-22
Main,Pokemon,Paradox Rift,Froslass ex,217/182,Ultra Rare,Holofoil,Ungraded,0.0000,1,2.1900,false,2025-03-22
Main,Pokemon,Paradox Rift,Garbodor,204/182,Illustration Rare,Holofoil,Ungraded,0.0000,1,12.4700,false,2025-03-22
Main,Pokemon,Paradox Rift,Garchomp ex,038/182,Double Rare,Holofoil,Ungraded,0.0000,1,0.9400,false,2025-03-22
Main,Pokemon,Paradox Rift,Gholdengo ex,139/182,Double Rare,Holofoil,Ungraded,0.0000,1,10.8600,false,2025-03-22
Main,Pokemon,Paradox Rift,Golisopod ex,246/182,Special Illustration Rare,Holofoil,Ungraded,0.0000,1,18.5900,false,2025-03-22
Main,Pokemon,Paradox Rift,Golisopod ex,050/182,Double Rare,Holofoil,Ungraded,0.0000,1,0.6000,false,2025-03-22
Main,Pokemon,Paradox Rift,Iron Valiant ex,089/182,Double Rare,Holofoil,Ungraded,0.0000,1,0.7200,false,2025-03-22
Main,Pokemon,Paradox Rift,Porygon,142/182,Common,Normal,Ungraded,0.0000,1,0.0500,false,2025-03-22
Main,Pokemon,Paradox Rift,Rika,241/182,Ultra Rare,Holofoil,Ungraded,0.0000,1,2.6200,false,2025-03-22
Main,Pokemon,Paradox Rift,Toxtricity ex,100/182,Double Rare,Holofoil,Ungraded,0.0000,1,0.5800,false,2025-03-22
Main,Pokemon,Platinum,Armor Fossil,119,Common,Normal,Ungraded,0.0000,3,0.0870,false,2025-03-21
Main,Pokemon,Platinum,Honchkrow G,77,Common,Normal,Ungraded,0.0000,1,0.0761,false,2025-03-18
Main,Pokemon,Platinum,Life Herb,108,Uncommon,Normal,Ungraded,0.0000,1,0.1088,false,2025-03-21
Main,Pokemon,Platinum,Lotad,81,Common,Normal,Ungraded,0.0000,1,0.1849,false,2025-03-21
Main,Pokemon,Platinum,Pokemon Rescue,115,Uncommon,Normal,Ungraded,0.0000,1,0.4351,false,2025-03-21
Main,Pokemon,Platinum,Purugly G,88,Common,Normal,Ungraded,0.0000,1,0.3046,false,2025-03-21
Main,Pokemon,Platinum,Skull Fossil,120,Common,Normal,Ungraded,0.0000,1,0.1088,false,2025-03-21
Main,Pokemon,Platinum Arceus,Arceus (AR5),AR5,Holo Rare,Holofoil,Ungraded,0.0000,1,9.8765,false,2025-03-20
Main,Pokemon,Platinum Arceus,Bagon,52/99,Common,Normal,Ungraded,0.0000,1,0.2175,false,2025-03-21
Main,Pokemon,Platinum Arceus,Charizard,1/99,Holo Rare,Reverse Holofoil,Ungraded,0.0000,2,19.7205,false,2025-03-18
Main,Pokemon,Platinum Arceus,Charmeleon,35/99,Uncommon,Normal,Ungraded,0.0000,2,0.3372,false,2025-03-18
Main,Pokemon,Platinum Arceus,Expert Belt,87/99,Uncommon,Normal,Ungraded,0.0000,1,0.3698,false,2025-03-21
Main,Pokemon,Platinum Arceus,Gulpin (40),40/99,Uncommon,Normal,Ungraded,0.0000,1,0.2284,false,2025-03-21
Main,Pokemon,Platinum Arceus,Lucky Egg,88/99,Uncommon,Normal,Ungraded,0.0000,2,0.1414,false,2025-03-21
Main,Pokemon,POP Series 8,Cherrim,6,Uncommon,Reverse Holofoil,Ungraded,0.0000,1,7.1100,false,2025-03-20
Main,Pokemon,POP Series 8,Croagunk,13,Common,Holofoil,PSA 10.0,0.0000,1,0.0000,false,2025-03-20
Main,Pokemon,POP Series 8,Luxio,8,Uncommon,Holofoil,Ungraded,0.0000,1,2.5997,false,2025-03-18
Main,Pokemon,Prismatic Evolutions,Archaludon,070/131,Rare,Reverse Holofoil,Ungraded,0.0000,1,0.1100,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Brassius,135/131,Ultra Rare,Holofoil,Ungraded,0.0000,1,0.8800,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Eevee ex - 075/131,075/131,Double Rare,Holofoil,Ungraded,0.0000,1,11.9800,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Espeon,033/131,Rare,Reverse Holofoil,Ungraded,0.0000,1,0.4500,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Exeggutor (Master Ball Pattern),002/131,Uncommon,Holofoil,Ungraded,0.0000,1,12.1900,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Flutter Mane,043/131,Rare,Reverse Holofoil,Ungraded,0.0000,1,0.2000,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Furfrou (Master Ball Pattern),088/131,Common,Holofoil,Ungraded,0.0000,1,7.8300,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Glaceon,025/131,Rare,Reverse Holofoil,Ungraded,0.0000,1,0.4200,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Groudon,049/131,Rare,Reverse Holofoil,Ungraded,0.0000,1,0.1700,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Iron Thorns ex,032/131,Double Rare,Holofoil,Ungraded,0.0000,1,0.9900,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Jolteon,029/131,Rare,Reverse Holofoil,Ungraded,0.0000,1,0.2800,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Jolteon ex - 030/131,030/131,Double Rare,Holofoil,Ungraded,0.0000,1,5.6900,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Noibat (Master Ball Pattern),090/131,Common,Holofoil,Ungraded,0.0000,1,4.7400,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Okidogi,057/131,Rare,Holofoil,Ungraded,0.0000,1,0.0900,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Professor Turo's Scenario,121/131,Uncommon,Normal,Ungraded,0.0000,1,0.1100,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Roaring Moon ex,162/131,Special Illustration Rare,Holofoil,Ungraded,0.0000,1,297.9000,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Sylveon,040/131,Rare,Reverse Holofoil,Ungraded,0.0000,1,0.3900,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Umbreon,059/131,Rare,Reverse Holofoil,Ungraded,0.0000,1,0.9800,false,2025-03-21
Main,Pokemon,Prismatic Evolutions,Vaporeon,022/131,Rare,Reverse Holofoil,Ungraded,0.0000,1,0.3600,false,2025-03-21
Main,Pokemon,Rising Rivals,Aerodactyl GL,55,Common,Normal,Ungraded,0.0000,1,0.2067,false,2025-03-21
Main,Pokemon,Rising Rivals,Bebe's Search,89,Uncommon,Normal,Ungraded,0.0000,2,0.1305,false,2025-03-21
Main,Pokemon,Rising Rivals,Bertha's Warmth,90,Uncommon,Normal,Ungraded,0.0000,1,0.2284,false,2025-03-21
Main,Pokemon,Rising Rivals,Carvanha,58,Common,Reverse Holofoil,Ungraded,0.0000,1,2.0340,false,2025-03-20
Main,Pokemon,Rising Rivals,Lucario GL,8,Holo Rare,Reverse Holofoil,Ungraded,0.0000,1,2.3495,false,2025-03-18
Main,Pokemon,Rising Rivals,Mow Rotom,RT4,Ultra Rare,Reverse Holofoil,Ungraded,0.0000,1,9.1804,false,2025-03-18
Main,Pokemon,Rising Rivals,Munchlax (69),69,Common,Normal,Ungraded,0.0000,9,0.4677,false,2025-03-21
Main,Pokemon,Rising Rivals,Munchlax (70),70,Common,Normal,Ungraded,0.0000,5,0.1523,false,2025-03-21
Main,Pokemon,Rising Rivals,Nidoran M,72,Common,Normal,Ungraded,0.0000,1,0.2067,false,2025-03-21
Main,Pokemon,Rising Rivals,Nuzleaf,75,Common,Normal,Ungraded,0.0000,1,0.1849,false,2025-03-21
Main,Pokemon,Rising Rivals,Starmie,50,Uncommon,Normal,Ungraded,0.0000,1,0.1523,false,2025-03-21
Main,Pokemon,Rising Rivals,Underground Expedition,97,Uncommon,Normal,Ungraded,0.0000,1,0.1523,false,2025-03-21
Main,Pokemon,Rising Rivals,Upper Energy,102,Uncommon,Normal,Ungraded,0.0000,1,0.2502,false,2025-03-21
Main,Pokemon,Rising Rivals,Volkner's Philosophy,98,Uncommon,Normal,Ungraded,0.0000,1,0.1523,false,2025-03-21
Main,Pokemon,Scarlet & Violet Promo,Flareon - 167,167,Promo,Holofoil,Ungraded,0.0000,1,0.7100,false,2025-03-21
Main,Pokemon,Scarlet & Violet Promo,Jolteon - 169,169,Promo,Holofoil,Ungraded,0.0000,1,0.7500,false,2025-03-21
Main,Pokemon,Scarlet & Violet Promo,Vaporeon - 168,168,Promo,Holofoil,Ungraded,0.0000,1,0.8300,false,2025-03-21
Main,Pokemon,Secret Wonders,Arcanine,22,Rare,Normal,Ungraded,0.0000,1,1.3488,false,2025-03-21
Main,Pokemon,Secret Wonders,Bulbasaur,77,Common,Normal,Ungraded,0.0000,4,0.7070,false,2025-03-21
Main,Pokemon,Secret Wonders,Charizard,3,Holo Rare,Reverse Holofoil,Ungraded,0.0000,1,25.2352,false,2025-03-18
Main,Pokemon,Secret Wonders,Charmander,82,Common,Normal,Ungraded,0.0000,5,0.7505,false,2025-03-18
Main,Pokemon,Secret Wonders,Charmeleon,46,Uncommon,Normal,Ungraded,0.0000,3,0.2502,false,2025-03-21
Main,Pokemon,Secret Wonders,Growlithe,89,Common,Normal,Ungraded,0.0000,3,0.2393,false,2025-03-21
Main,Pokemon,Secret Wonders,Ivysaur,51,Uncommon,Normal,Ungraded,0.0000,2,0.4133,false,2025-03-21
Main,Pokemon,Secret Wonders,Lombre,54,Uncommon,Normal,Ungraded,0.0000,1,0.4242,false,2025-03-21
Main,Pokemon,Secret Wonders,Magmar,93,Common,Normal,Ungraded,0.0000,1,0.1305,false,2025-03-18
Main,Pokemon,Secret Wonders,Magmortar,31,Rare,Reverse Holofoil,Ungraded,0.0000,2,1.7404,false,2025-03-18
Main,Pokemon,Secret Wonders,Murkrow,95,Common,Normal,Ungraded,0.0000,1,0.2828,false,2025-03-21
Main,Pokemon,Secret Wonders,Rattata,103,Common,Normal,Ungraded,0.0000,1,0.2828,false,2025-03-21
Main,Pokemon,Secret Wonders,Sentret,104,Common,Normal,Ungraded,0.0000,1,0.1740,false,2025-03-21
Main,Pokemon,Secret Wonders,Shellder,105,Common,Normal,Ungraded,0.0000,1,0.1740,false,2025-03-21
Main,Pokemon,Secret Wonders,Shuppet,110,Common,Normal,Ungraded,0.0000,1,0.1414,false,2025-03-21
Main,Pokemon,Secret Wonders,Team Galactic's Mars,126,Uncommon,Normal,Ungraded,0.0000,2,0.2175,false,2025-03-21
Main,Pokemon,Secret Wonders,Unown [K],68,Uncommon,Reverse Holofoil,Ungraded,0.0000,1,1.1639,false,2025-03-20
Main,Pokemon,Secret Wonders,Unown [O],70,Uncommon,Normal,Ungraded,0.0000,1,0.1088,false,2025-03-21
Main,Pokemon,Secret Wonders,Unown [X],71,Uncommon,Normal,Ungraded,0.0000,1,0.5004,false,2025-03-21
Main,Pokemon,Secret Wonders,Venonat,116,Common,Normal,Ungraded,0.0000,1,0.1958,false,2025-03-21
Main,Pokemon,Secret Wonders,Venusaur,20,Holo Rare,Reverse Holofoil,Ungraded,0.0000,1,4.6663,false,2025-03-18
Main,Pokemon,Stellar Crown,Terapagos ex,128/142,Double Rare,Holofoil,Ungraded,0.0000,1,3.7900,false,2025-03-21
Main,Pokemon,Supreme Victors,Baltoy,89,Common,Normal,Ungraded,0.0000,1,0.2284,false,2025-03-21
Main,Pokemon,Supreme Victors,Beldum,90,Common,Normal,Ungraded,0.0000,1,0.2502,false,2025-03-21
Main,Pokemon,Supreme Victors,Bulbasaur,93,Common,Normal,Ungraded,0.0000,1,2.0884,false,2025-03-21
Main,Pokemon,Supreme Victors,Charizard G Lv.X,143,Ultra Rare,Holofoil,Ungraded,0.0000,1,64.7414,false,2025-03-18
Main,Pokemon,Supreme Victors,Corphish,100,Common,Normal,Ungraded,0.0000,1,0.0653,false,2025-03-21
Main,Pokemon,Supreme Victors,Croagunk,101,Common,Normal,Ungraded,0.0000,1,0.0761,false,2025-03-21
Main,Pokemon,Supreme Victors,Cyrus's Initiative,137,Uncommon,Normal,Ungraded,0.0000,1,0.1196,false,2025-03-21
Main,Pokemon,Supreme Victors,Floatzel,58,Uncommon,Normal,Ungraded,0.0000,1,0.1958,false,2025-03-21
Main,Pokemon,Supreme Victors,Geodude,105,Common,Normal,Ungraded,0.0000,1,0.1523,false,2025-03-21
Main,Pokemon,Supreme Victors,Growlithe,108,Common,Normal,Ungraded,0.0000,1,0.2067,false,2025-03-21
Main,Pokemon,Supreme Victors,Ivysaur,62,Uncommon,Normal,Ungraded,0.0000,1,0.4786,false,2025-03-21
Main,Pokemon,Supreme Victors,Magikarp,110,Common,Normal,Ungraded,0.0000,1,0.8593,false,2025-03-21
Main,Pokemon,Supreme Victors,Magnemite,111,Common,Normal,Ungraded,0.0000,1,0.3698,false,2025-03-21
Main,Pokemon,Supreme Victors,Milotic,70,Uncommon,Normal,Ungraded,0.0000,1,0.8049,false,2025-03-21
Main,Pokemon,Supreme Victors,Mime Jr.,115,Common,Normal,Ungraded,0.0000,1,0.3372,false,2025-03-21
Main,Pokemon,Supreme Victors,Night Teleporter,138,Uncommon,Normal,Ungraded,0.0000,1,0.1523,false,2025-03-21
Main,Pokemon,Supreme Victors,Nincada,117,Common,Normal,Ungraded,0.0000,1,0.2719,false,2025-03-21
Main,Pokemon,Supreme Victors,Piplup,121,Common,Normal,Ungraded,0.0000,1,0.2828,false,2025-03-21
Main,Pokemon,Supreme Victors,Rotom,82,Uncommon,Normal,Ungraded,0.0000,2,0.4025,false,2025-03-19
Main,Pokemon,Supreme Victors,Skorupi,128,Common,Normal,Ungraded,0.0000,1,0.1196,false,2025-03-21
Main,Pokemon,Supreme Victors,VS Seeker,140,Uncommon,Normal,Ungraded,0.0000,2,5.4821,false,2025-03-21
Main,Pokemon,Supreme Victors,Zubat,133,Common,Normal,Ungraded,0.0000,1,0.1523,false,2025-03-21
Main,Pokemon,Temporal Forces,Bronzor ,170/162,Illustration Rare,Holofoil,Ungraded,0.0000,1,7.7300,false,2025-03-20
Main,Pokemon,Temporal Forces,Excadrill ,174/162,Illustration Rare,Holofoil,Ungraded,0.0000,1,7.1900,false,2025-03-20
Main,Pokemon,Temporal Forces,Farigiraf ex ,194/162,Ultra Rare,Holofoil,Ungraded,0.0000,1,3.8300,false,2025-03-20
Main,Pokemon,Temporal Forces,Farigiraf ex ,108/162,Double Rare,Holofoil,Ungraded,0.0000,1,1.4500,false,2025-03-20
Main,Pokemon,Temporal Forces,Iron Leaves ex ,186/162,Ultra Rare,Holofoil,Ungraded,0.0000,1,2.0500,false,2025-03-20
